A. ZARATE GENERAL HOSPITAL	----->Pulanglupa, Las Piñas City
MAPANDI MEMORIAL HOSPITAL	----->048 Buanda Boulevard Saduc Marawi City, Lanao Del Sur
MARAAT MEDICAL HOSPITAL	----->Publacion Quezon, Bukidnon
MARAGUSAN MUNICIPAL	----->HOSPITAL Maragusan, Compostela Valley
MARAMAG MEDICLINIC AND	----->LABORATORY (formerly MARAMAG MEDICAL CLINIC) Maramag, Bukidnon
MARANDING COMMUNITY HOSPITAL	----->Fernan Subd., Maranding Lala, Lanao Del Norte
MARCELLO HOSPITAL	----->237 M. Ponce St., Baliuag Bulacan
MARCELLO-PADILLA CHILDREN'S	----->AND MEDICAL HOSPITAL Banga I. Plaridel, Bulacan
MARGOSA TUBIG REGIONAL	----->HOSPITAL Margosatubig, Zamboanga del Sur
MARIA L. ELEAZAR MEMORIAL	----->DISITRICT HOSPITAL (formerly Tagkawayan District Hosp.) Tagkawayan, Quezon
MARIA LOURDES MATERNITY	----->HOSPITAL Don Chino Roces Ave., Makati City
MARIA REYNA HOSPITAL	----->Cagayan de Oro City
MARIAN HOSPITAL OF STA. ROSA, INC.	----->Brgy. Tagapo, Sta. Rosa City, Laguna
MARIANO JESUS CUENCO	----->MEMORIAL HOSPITAL Malabuyoc, Cebu City
MARIANO MARCOS MEMORIAL	----->HOSPITAL & MEDICAL CENTER Batac, Ilocos Norte
MARIHATAG DISTRICT HOSPITAL	----->Marihatag, Surigao del Sur
MARIKINA ST. VINCENT	----->GENERALHOSPITAL, INC. Concepcion, Marikina City
MARIKINA VALLEY MEDICAL CENTER	----->Sumulong Hi-way Cor., Aguinaldo Ave., Marikina City
MARKVIM HOSPITAL	----->Almar Subd., Kalookan City
MARIBOJOC COMMUNITY	----->HOSPITAL Maribojoc, Bohol
MARSMAN ESTATE	----->PLANTATION, INC. (MEPI) MEDICAL CLINIC / HOSPITAL Sto. Tomas, Davao del Norte
MARTIN MARASIGAN MEMORIAL	----->HOSPITAL (formerly Cuenca Medicare Community Hosp.) Cuenca, Batangas
MARTINEZ MEMORIAL HOSPITAL	----->198 A. Mabini St., Maypajo, Caloocan City
MARY CHILES GENERAL HOSPITAL	----->667 Gastambide St., Sampaloc, Manila
MARY IMMACULATE	----->MATERNITY HOSPITAL Sto. Rosario, Malolos, Bulacan
MARY IMMACULATE HOSPITAL	----->E. Rodriguez Ave., Bagong Ilog, Pasig City
MARY JOHNSTON HOSPITAL	----->1221Juan Nolasco St. Tondo, Manila
MARY MEDIATRIX MEDICAL	----->CENTER Lipa City, Batangas
MARY THE QUEEN MATERNITYAND	----->GEN. HOSPITAL FOUNDATION INC. Sto. Niño, Plaridel, Bulacan
MASBATE DOCTORS HOSPITAL	----->Rosero St., Masbate City
MASBATE PROVINCIAL HOSPITAL	----->Masbate, Masbate
MASONGSONG CLINIC	----->Digos City, Davao del Sur
MATAAS NA KAHOY COMMUNITY	----->HOSPITAL Pob., Mataas na Kahoy, Batangas
MATEO'S DIAGNOSTIC CLINIC	----->AND GENERAL HOSPITAL, INC. Bagbaguin, Sta. Maria, Bulacan
MATIAS CLINIC AND HOSPITAL	----->National Highway, Isulan Isulan, Sultan Kudarat
MATILDE A. OLIVAS DISTRICT	----->HOSPITAL Camalaniugan, Cagayan
MATNOG MEDICARE	----->COMMUNITY HOSPITAL Matnog, Sorsogon
MATUTES MEDICAL CLINIC	----->AND HOSPITAL Sto. Tomas, Davao del Norte
MAUBAN DISTRICT HOSPITAL	----->Mauban, Quezon
MAWAB MEDICAL CLINIC AND	----->HOSPITAL Mawab, Compostela Valley
MAYOR HILARION A. RAMIRO SR.	----->REGIONAL TRAINING AND TEACHING HOSPITAL Maningcal, Ozamis City
MAYOR JOAQUIN G. MACIAS	----->MEMORIAL HOSPITAL Sindangan, Zamboanga del Norte
MAYOYAO DISTRICT HOSPITAL	----->Mayoyao, Ifugao
MCPC ST. THERESE OF USIEUX	----->DOCTORS HOSPITAL Maybunga, Pasig City
MEDICAL CENTER OF DIGOS	----->COOP. HOSPITAL Digos, Davao del Sur
MEDICAL CENTER IMUS	----->Imus, Cavite
MEDICAL CENTER MANILA	----->1122 Gen. Luna, Ermita, Manila
MEDICAL CENTER PARAÑAQUE, INC.	----->Dr. A. Santos Ave. Sucat Road, Parañaque City
MEDICAL CENTRUM DAGUPAN	----->A. B. Fernandez East, Dagupan City
MEDICAL MISSION GROUP	----->HOSPITAL & HEALTH SERVICES COOP - BOHOL Tagbilaran City, Bohol
MEDICAL MISSION GROUP	----->HOSPITAL & HEALTH SERVICES COOPERATIVE OF DAVAO CITY Leon Garcia St., Sta Ana Davao City
MEDICAL MISSION GROUP	----->HOSPITAL & HEALTH SERVICES COOP-NUEVA VIZCAYA Solano, Nueva Vizcaya
MEDICAL MISSION GROUP HOSPITAL	----->AND HEALTH SERVICES COOPERATIVE OF TACURONG Tacurong City, Sultan Kudarat
MEDICAL MISSION GROUP HOSPITAL	----->AND HEALTH SERVICES OF TAGUM Visayan Village, Tagum City, Davao del Norte
MEDICARE COMMUNITY	----->HOSPITAL-JIMENEZ Poblacion Jimenez, Misamis Occidnetal
MEDIDAS MEDICAL CLINIC	----->Roxas St., Valencia City, Bukidnon 10
MEDINA GENERAL HOSPITAL	----->Ozamis City, Misamis Occidental
MELVERY MATERNITY HOSPITAL	----->Tabang, Plaridel, Bulacan
MENDOZA GENERAL	----->HOSPITAL Sta. Maria, Bulacan
MERCEDES MEDICAL CENTER	----->(formerly Pamana Medical Center) Sto. Entierro St., Angeles City
MERCY CLINIC AND HOSPITAL	----->Cardinal Santos St., Sto. Nino Guagua, Pampanga
MERCY COMMUNITY	----->HOSPITAL, INC. Kamague, Iligan City
METRO LEMERY MED. CENTER	----->Palanas, Lemery, Batangas
METRO LIPA MEDICAL CENTER	----->J.P. Laurel Highway Marawoy, Lipa City
METRO PAGADIAN HOSPITAL, INC.	----->V. Sagun St., Lumbia Dist. Pagadian City, Zamboanga Del Sur
METRO RIZAL DOCTORS HOSPITAL	----->San Roque, Cainta, Rizal
METRO SOUTH MEDICAL CENTER	----->Molino IV, Bacoor, Cavite
METRO VIGAN COOPERATIVE HOSPITAL	----->Roxas Dike (Bantay) Vigan,Ilocos Sur
METROPOLITAN MEDICAL	----->CENTER-NASUGBU BRANCH Km. 72 Brgy. Kaylaway Sitio Batulao, Nasugbu, Batangas
METROPOLITAN MEDICAL CENTER	----->(formerly Metropolitan Hospital) 1357 G. Masangkay St. Tondo, Manila
MEYCAUAYAN DOCTORS	----->HOSPITAL INC. Banga, Meycauayan, Bulacan
MIDSALIP INFIRMARY HOSPITAL	----->Midsalip, Zamboanga Del Sur
MIDSAYAP COMMUNITY	----->DOCTOR'S HOSPITAL Midsayap, North Cotabato
MIDSAYAP DIAGNOSTIC	----->CENTER AND HOSPITAL Pob. 8 Quezon Ave. Midsayap, North Cotabato
MIGUEL CLINIC	----->Estacion, Paniqui, Tarlac
MILAGROS DISTRICT HOSPITAL	----->Cabagan, Isabela
MINA DE ORO GENERAL	----->HOSPITAL Victoria, Oriental Mindroro
MINDANAO SPECIALIST HOSPITAL	----->FOUNDATION, INC. Panggao Saduc, Marawi City Lanao Del Sur
MINDANAO CENTRAL SANITARIUM	----->Pasobolong, Zamboanga City
MINDANAO SANITARIUM AND HOSPITAL	----->Tibanga, Iligan City Lanao del Norte
MINGLANILLA DISTRICT HOSPITAL	----->Minglanilla, Cebu
MIRACULOUS MEDAL EMERGENCY	----->MEDICAL CLINIC Singalong, Malate, Manila
MIRANDA FAMILY HOSPITAL	----->Km. I, Surigao City, Surigao del Norte
MISAMIS COMMUNITY	----->HOSPITAL, INC. Tinago, Ozamis City, Misamis Occidental
MISAMIS OCCIDENTAL	----->PROVINCIAL HOSPITAL (IPHO) Oroquieta City, Misamis Occ.
MISAMIS ORIENTAL PROVINCIAL	----->HOSPITAL-CLAVERIA Poblacion, Claveria Misamis Oriental
MISAMIS ORIENTAL PROVINCIAL	----->HOSPITAL-BALINGASAG Poblacion, Balingasag Misamis Oriental
MISAMIS ORIENTAL PROVINCIAL	----->HOSPITAL-GINGOOG Doña Graciana St., Gingoog City
MISAMIS ORIENTAL PROVINCIAL	----->HOSPITAL-INITAO Codilla St., Poblacion, Initao
MISAMIS ORIENTAL PROVINCIAL	----->HOSPITAL-MAGSAYSAY Cabubuhan, Magsaysay Misamis Oriental
MISAMIS ORIENTAL PROVINCIAL	----->HOSPITAL-MANTICAO Poblacion, Manticao, MIsamis Oriental
MISAMIS ORIENTAL PROVINCIAL	----->HOSPITAL-TALISAYAN Poblacion, Talisayan Misamis Oriental
MISAMIS UNIVERSITY MEDICAL CENTER	----->Bagakay, Ozamis City, Misamis Occidental
MISSION HOSPITAL	----->Km. 17, Ortigas Ave., Ext. Rosario, Pasig City
M'LANG DISTRICT HOSPITAL	----->Kabacan, North Cotabato
M'LANG DOCTOR'S HOSPITAL, INC.	----->M. H. del Pilar St., M'lang. North Cotabato City
MOISES ESPINOSA SR. MEMORIAL	----->MUNICIPAL HOSPITAL Dimasalang, Masbate
MOLINO DOCTORS HOSPITAL	----->Bacoor, Cavite
MORONG DOCTORS HOSPITAL	----->Morong, Rizal
MOTHER AND CHILD HOSPITAL	----->75 Kessing St., Olongapo City Zambales
MOTHER OF MERCY HOSPITAL	----->Tacloban City, Eastern Samar
MOTHER OF PERPETUAL HELP HOSPITAL	----->Sto. Entierro, Angeles City
MOTHER TERESA OF CALCUTTA	----->MEDICAL CENTER Maimpis, San Fernando City, Pampanga
MT. CARMEL DIOCESAN	----->GENERAL HOSPITAL Allarey Extension, Lucena City
MT. CARMEL HOSPITAL MEDICAL	----->CENTER OF BULACAN, CORP Bunlo, Bocaue, Bulacan
MT. OF BLESSINGS HOSPITAL	----->Libungan, North Cotabato
MUÑOZ CLINIC	----->San Nicolas, San Fernando City Pampanga
N. L. VILLA MEMORIAL MEDICAL	----->CENTER Lipa City
N. MED-CARE HOSPITAL	----->143 A. Mabini, Burgos Rodriguez, Rizal
NABILOG COMMUNITY	----->PRIMARY HOSPITAL Tayasan, Negros Oriental
NABUNTURAN DOCTORS HOSPITAL,	----->INC. (former Flores Medical Clinic) Nabunturan, Campostela Valley
NAGA CITY HOSPITAL	----->Penafrancia Avenue Naga City
NAGCARLAN DISTRICT	----->HOSPITAL Nagcarlan, Laguna
NAGUILIAN DISTRICT	----->HOSPITAL Naguilian, La Union
NAIC DOCTORS HOSPITAL	----->Daang Makina, Naic, Cavite
NAIC MEDICARE HOSPITAL	----->Naic, Cavite
NAQUITQUITAN MEDICAL	----->CLINIC AND HOSPITAL Carmen, North Cotabato
NARRA MUNICIPAL HOSPITAL	----->Narra, Palawan
NASIPIT DISTRICT HOSPITAL	----->Nasipit, Agusan del Norte
NATIONAL CENTER FOR	----->MENTAL HEALTH 9 Febrero Street Mandaluyong City
NATIONAL CHILDREN'S HOSPITAL	----->266 E. Rodriguez Sr. Blvd. Quezon City
TRANSPLANT INSTITUTE	----->East Avenue, Quezon City
NATONIN COMMUNITY HOSPITAL	----->Natonin, Mt. Province
NAUJAN MUNICIPAL HOSPITAL	----->Santiago, Naujan Oriental Mindoro
NAZARENUS COLLEGE	----->FOUNDATION HOSPITAL Saluysoy, Bulacan
NAZARETH GENERAL HOSPITAL, INC.	----->203 Perez St., Dagupan City
NEGROS ORIENTAL PROVINCIAL HOSPITAL	----->Piapi, Dumaguete City Negros Occidental
NEOPOLITAN MEDICAL MATERNITY	----->CHILDREN'S & LYING-IN CLINIC INC. Flordeliza Bldg., km 23 Quirino Hi-way, Lagro Novaliches, Quezon City
NEW BAYUGAN MEDICAL HOSPITAL	----->Bayugan, Agusan del Sur
NEW BILIBID PRISONS HOSPITAL	----->N.B.P. Reservation Muntinlupa City
NEW LUCENA POLYTECHNIC COLLEGE	----->MEDICAL CLINIC AND HOSPITAL New Lucena, Iloilo
NEW SAMARITAN MEDICAL	----->AND PEDIATRIC CLINIC San Mateo, Isabela
NEW SINAI MDI HOSPITAL	----->Nat'l. Highway, Tagapo Sta. Rosa, Laguna
NODADO GENERAL HOSPITAL	----->Bigte, Norzagaray, Bulacan
NODADO GENERAL HOSPITAL	----->Novaliches, Quezon City
NODADO GENERAL HOSPITAL	----->Area A, Camarin, Caloocan City
NORALA DISTRICT HOSPITAL	----->Norala, South Cotabato
NORTH CALOOCAN	----->DOCTORS HOSPITAL Banker's Vill 2, Quirino Hi-way Kaloocan City
NORTHERN CAGAYAN	----->DISTRICT HOSPITAL Sanchez Mira, Cagayan Valley
NORTHERN DOCTORS	----->GENERAL HOSPITAL Laoag City, Ilocos Norte
NORTHERN LA UNION MATERNITY	----->& CHILDREN'S HOSPITAL Balaoan, La Union
NORTHERN MINDANAO	----->MEDICAL CENTER Cagayan de Oro City
NORTHERN SAMAR PROVINCIAL	----->HOSPITAL Catarman, Northern Samar
NORTHWESTERN LEYTE	----->DISTRICT HOSPITAL Calubian, Northern Leyte
NORZAGARAY MUNICIPAL HOSPITAL	----->Pob. Norzagaray, Bulacan
NOTRE DAME HOSPITAL AND	----->SCHOOL OF MIDWIFERY, INC. Rosary Heights, Cotabato City
NOTRE DAME OF DE CHARTERS	----->HOSPITAL General Luna, Baguio City
NOVALICHES DISTRICT HOSPITAL	----->Quirino Hi-way, San Bartolome Novaliches, Quezon City
NOVALICHES GENERAL HOSPITAL	----->Quirino Highway, Gulod Novaliches, Quezon City
NUESTRA SEÑORA DE PIAT	----->DISTRICT HOSPITAL Maquilling Piat, Cagayan Valley
NUESTRO ESPIRITU MEDICALSURGICAL	----->AND DIAGNOSTIC CENTER Bongabong, Oriental Mindoro
NUEVA ECIJA DOCTOR'S HOSP. INC.	----->Km. 111 Maharlika High Way Cabanatuan City Nueva Ecija
NUEVA ECIJA GOOD SAMARITAN	----->GEN. HOSP. INC. Burgos Avenue, Cabanatuan City Nueva Ecija
NUEVA ECIJA GOOD SAMARITAN	----->GEN. HOSP. INC. (EXT.) Bucana, Gapan, Nueva Ecija
NUEVA VALENCIA DISTRICT HOSPITAL	----->Lanipe, Nueva Valencia Guimaras, Sub Province
NUEVA VISCAYA PROVINCIAL HOSPITAL	----->Bambang, Nueva Viscaya
OCAMPO MUNICIPAL HOSPITAL	----->Ocampo, Camarines Sur
OCCIDENTAL MINDORO	----->PROVINCIAL HOSPITAL Mamburao, Occ. Mindoro
OFELIA MENDOZA MATERNITY	----->& GENERAL HOSPITAL Mojon, Malolos, Bulacan
OLIVAREZ GENERAL HOSPITAL	----->Dr. A. Santos Ave., Sucat Road Parañaque City
OLUTANGA MUNICIPAL HOSPITAL	----->Sibugay, Zamboanga del Sur
ORANI DISTRICT HOSPITAL	----->Orani, Bataan
ORAS DISTRICT HOSPITAL	----->Oras, Eastern Samar
ORDOÑEZ ADULT AND	----->CHILDREN'S CLINIC Pugaro, Balungao, Pangasinan
ORDOÑEZ MEDICAL HOSPITAL	----->Villasis, Pangasinan
ORIENTAL MINDORO	----->PROVINCIAL HOSPITAL Calapan City, Oriental Mindoro
ORION ST. MICHAEL HOSPITAL	----->Calle JP Rizal, Wakas, Orion, Bataan
ORMOC DISTRICT HOSPITAL	----->Ormoc City, Northern Leyte
ORMOC MATERNITY AND	----->CHILDREN'S HOSPITAL Ormoc City
OROQUIETA COMMUNITY	----->HOSPITAL, INC. J.P. Quijano St., Oroquieta City MIsamis Occidental
OSLOB DISTRICT HOSPITAL	----->Oslob, Cebu City
OSPA FARMERS MEDICAL CENTER	----->Ormoc City
OSPITAL NING ANGELES	----->Visitacion St. cor Pampang Rd. Brgy. Pampang, Angeles City
OSPITAL NING CAPAS	----->Capas, Tarlac
OSPITAL NG BARAS	----->Baras, Rizal
OSPITAL NG BIÑAN	----->Canlalay, Biñan, Laguna
OSPITAL NG CABUYAO	----->Brgy. Tres, Cabuyao, Laguna
OSPITAL NG GUIGUINTO	----->Tabe, Guiguinto, Bulacan
OSPITAL NG KABATAAN	----->NG DIPOLOG INC. Dipolog City
OSPITAL NG LUNGSOD NG	----->SAN JOSE DEL MONTE Sapang Palay, San Jose Del Monte, Bulacan
OSPITAL NG MAKATI	----->Malugay Street, Makati City
OSPITAL NG MAKATI	----->ACUTE CARE CENTER Bel-Air, Makati City
OSPITAL NG MAYNILA	----->MEDICAL CENTER Pres. Quirino Ave., cor. Roxas Blvd., Manila
OSPITAL NG MUNTINLUPA	----->Alabang, Muntinlupa
OSPITAL NG PALAWAN	----->220 Malvar St., Puerto Princesa City, Palawan
OSPITAL NG SAMPALOC	----->677 Geronimo cor. Carola St. Sampaloc, Manila
OSPITAL NG STA. CRUZ	----->Sta. Cruz, Zambales
OSPITAL NG TAGAYTAY	----->Bacolod St.,Kaybagal Tagaytay City
OSPITAL NG TONDO	----->J. Abad Santos, Tondo, Manila
OUR LADY OF CAYSASAY	----->MEDICAL CENTER V. Illustre St.,Lemery, Batangas
OUR LADY OF FATIMA HOSPITAL	----->Panganiban, Catanduanes
OUR LADY OF FATIMA MEDICAL	----->CLINIC & HOSPITAL 18-A Mabini St., Laoag City
OUR LADY OF GRACE HOSPITAL	----->8th Avenue cor. F. Roxas St. Grace Park, Caloocan City
OUR LADY OF GUADALUPE HOSPITAL	----->(former Cero's Medical Clinic) Gen. McArthur, Eastern Samar
OUR LADY OF HOPE MEDICAL	----->CLINIC AND HOSPITAL Esperanza, Sultan Kudarat
OUR LADY OF LOURDES HOSPITAL	----->Vinzons Avenue, Daet Camarines Norte
OUR LADY OF LOURDES	----->HOSPITAL, INC. 46 P. Sanchez St. Sta. Mesa, Manila
OUR LADY OF LOURDES	----->INTERNATIONAL MEDICAL CENTER Bo. Baretto, Olongapo City, Zambales
OUR LADY OF MEDIATRIX HOSPITAL	----->San Jose, Iriga City Camarines Sur
OUR LADY OF MERCY	----->GENERAL HOSPITAL, CO. Dona Remedios Trinidad Highway Brgy. Longos, Pulilan, Bulacan
OUR LADY OF MT. CARMEL	----->MEDICAL CENTER Saguin, San Fernando City, Pampanga
OUR LADY OF MT. CARMEL	----->MEDICAL CENTER-CLARK Ninoy Aquino Ave., SBFZ, Angeles City
OUR LADY OF PEACE HOPSITAL	----->Coastal Road, Paranaque City
OUR LADY OF PIAT POLYCLINIC	----->AND HOSPITAL Biñan, Laguna
OUR LADY OF PORCIUNCULA	----->HOSPITAL INC. Magsaysay Blvd. cor. East Awang Calbayog, Eastern Samar
OUR LADY OF PURIFICATION	----->DOCTORS HOSPITAL Binmaley, Pangasinan
OUR LADY OF ROSARY	----->HOSPITAL INC. Talag St., Macabebe, Pampanga
OUR LADY OF RULE MATERNITY	----->AND GENERAL HOSPITAL Pajo, Lapu-Lapu City
OUR LADY OF THE PILLAR	----->MEDICAL CENTER Tamsire Ave., Imus, Cavite
OUR LADY OF THE WAY	----->MEDICAL & PEDIATRICS CLINIC Magallanes, Cavite
OUR SAVIOR HOSPITAL., INC.	----->Gen. Trias Drive, Rosario, Cavite
OVERSEAS CONTRACT	----->WORKERS GENERAL HOSPITAL 39 Tandang Sora Avenue Culiat Street, Quezon City
OZAMIS CITY ST. JOSEPH	----->GENERAL HOSPITAL Washington St., Ozamis City
P. GONZALES MEMORIAL	----->HOSPITAL, INC. Malanday, Marikina City
PLT COLLEGE, INC - LUIS TIAM	----->MEMORIAL HOSPITAL Bascaran,Solano, Nueva Vizcaya
PACENCIA GONZALES MEMORIAL	----->EMERGENCY HOSPITAL 48 Del Pilar, Tagudin, Ilocos Sur
PACUAN COMMUNITY	----->PRIMARY HOSPITAL La Libertad, Negros Oriental
PADRE BURGOS	----->COMMUNITY HOSPITAL Padre Burgos, Southern Leyte
PADRIGUILAN'S MATERNITY	----->AND MEDICAL CLINIC McArthur Highway, Bancal Meycauayan, Bulacan
PADRON -TIBIO MEDICAL CLINIC	----->Pasuquin, San Jose Aurora, Isabela
PAETE GENERAL HOSPITAL	----->JP Rizal St,, Paete, Laguna
PAGADIAN CITY MEDICAL HOSPITAL	----->Cabrera St., Pagadian City, Zamboanga Peninsula
PAGADIAN DOCTOR'S HOSPITAL	----->Lumbia Dist., Pagadian City
PAGAMUTANG BAYAN NG CARMONA	----->Carmona, Cavite
PAGAMUTANG BAYAN NG MALABON	----->Maya-Maya St., cor Dagatan Ave. Kaunlaran Vill. Malabon
PAGAMUTANG BAYAN NG CARMONA	----->Carmona, Cavite
PAGAMUTANG PANGMASA NG LAGUNA	----->Maitim Bay, Laguna
PAG-ASA HOSPITAL	----->National Road, Sitio Sapa Brgy. Pag-asa, Binangonan, Rizal
PAGSANJAN MEDICAL CLINIC INC.	----->Pagsanjan, Laguna
PAHILAN FAMILY CLINIC	----->Don Carlos, Bukidnon
PALANAN STATION HOSPITAL	----->Palanan, Isabela
PALAWAN ADVENTIST HOSPITAL	----->San Pedro, Pto. Princesa City, Palawan
PALAWAN BAPTIST HOSPITAL	----->Roxas, Palawan
PALMA-MALALUAN HOSPITAL	----->J. Magtibay, Rosario, Batangas
PALUAN MEDICARE	----->COMMUNITY HOSPITAL Paluan, Occidental Mindoro
PAMANA MEDICAL CENTER	----->(formerly Pamana Golden Care Foundation, Inc.) Calamba City, Laguna
PAMPANGA EENT AND	----->GENERAL HOSPITAL 17 San Nicolas, San Fernando City, Pampanga
PAMPANGA MEDICAL SPECIALIST	----->HOSPITAL AND PHARMACY San Antonio, Guagua, Pampanga
PAMPLONA MEDICAL CLINIC	----->46 Real St., Pamplona Las Piñas City
PANABO POLYMEDIC HOSPITAL	----->Panabo, Davao del Norte
PANAYAMAN GENERAL HOSPLITAL	----->Bula, Gen. Santos City
PANDAN DISTRICT HOSPITAL	----->Pandan, Catanduanes
PANGASINAN CENTER FOR	----->FAMILY MEDICINE Tapuac District Dagupan City, Pangasinan
PANGASINAN DOCTORS HOSPITAL	----->Rizal Ave., San Carlos City Pangasinan
PANGASINAN MEDICAL	----->CENTER, INC. Nable St., Dagupan City
PANGUTARAN DISTRICT HOSPITAL	----->Pangutaran, Sulu
PANLALAWIGAN PAGAMUTAN	----->NG LAGUNA (formerly San Pablo City District Hospital) San Pablo City, Laguna
PANOPDOPAN DISTRICT HOSPITAL	----->Lamut, Ifugao
PANOPIO MEDICAL AND	----->MATERNITY CLINIC 21 de Guzman St., Toril, Davao City
PANTALEON G. GOTLADERA	----->MEMORIAL HOSPITAL Pawa, Bulan, Sorsogon
PANTAO DISTRICT HOSPITAL	----->Pantao, Libon, Albay
PANTINOPLE MEDICAL CLINIC	----->Media, Argao, Cebu
PANTUKAN DISTRICT HOSPITAL	----->Pantukan, Compostela Valley
PARACELIS DISTRICT HOSPITAL	----->Paracelis, Mt. Province
PARAÑAQUE DOCTOR'S HOSPITAL	----->Better Living Subd., Parañaque City
PARANG DISTRICT HOSPITAL	----->Parang, Sulu
PASAY CITY GENERAL HOSPITAL	----->P. Burgos Street, Pasay City
PASCUAL GENERAL HOSPITAL	----->130 Baesa Street, Quezon City
PASIG CITY GENERAL HOSPITAL	----->Mi. Eusebio Ave., Maybunga, Pasig City
PASOLO MATERNITY AND	----->MEDICAL CLINIC, INC. 155 Pasolo St., Valenzuela City
PATHFINDER ESTATE HOSPITAL	----->Kabasalan, Zamboanga Sibugay
PAULINA LIM MEMORIAL HOSPITAL	----->Guindulman, Bohol
PAULINO HOSPITAL	----->Rizal Ave., Digos City, Davao del Sur
PAYAO MUNICIPAL HOSPITAL	----->Payao, Zamboanga del Sur
PAZZU MEDICAL CLINIC	----->(formerly Reroma Medical Clinic) Bansalan, Davao del Sur
PEDRO L. GINDAP MUNICIPAL	----->HOSPITAL Barbaza, Antique
PERPETUAL HELP CLINIC	----->Bunao, Ligao City, Albay
PERPETUAL HELP HOSPITAL	----->Malasiqui, Pangasinan
PERPETUAL HELP HOSPITAL	----->Olongapo City, Zambales
PERPETUAL HELP HOSPITAL	----->150 Laon-Laan St. Sampaloc, Manila
PERPETUAL SUCCOR HOSPITAL	----->AND MATERNITY INC. 836 F. Cayco St., Sampaloc, Manila
PERPETUAL SUCCOUR HOSPITAL	----->Gorordo Avenue, Cebu
PETER PAUL MEDICAL CENTER	----->OF CANDELARIA, INC. Regidor St., Candelaria, Quezon
PHILIPPINE CHILDREN'S	----->MEDICAL CENTER Quezon Avenue, Quezon City
PHILIPPINE GENERAL HOSPITAL	----->Taft Avenue, Ermita, Manila
PHILIPPINE HEART CENTER	----->East Avenue, Diliman Quezon City
PHILIPPINE ORTHOPEDIC CENTER	----->Ma. Clara cor. Banawe Street, Quezon City
PHILLIPS MEMORIAL HOSPITAL	----->Camp Phillip, Manolo Fortich, Bukidnon
PHILSAGA GENERAL HOSPITAL	----->Bunawan, Agusan Del Sur
PIDDIG DISTRICT HOSPITAL	----->Piddig, Ilocos Norte
PIEDAD MEDICAL CLINIC	----->San Mateo, Isabela
PILAR DISTRICT HOSPITAL	----->Pilar, Surigao del Norte
PILAR MEDICAL AND	----->MATERNITY CLINIC Angono, Rizal
PILILLA MEDICARE	----->COMMUNITYHOSPITAL Pililla, Rizal
PIMENTEL MEDICAL CLINIC	----->Bansalan, Davao del Sur
PINAMALAYAN COMMUNITY HOSPITAL	----->Papandayan, Pinamalayan Oriental Mindoro
PINAMALAYAN DOCTORS HOSPITAL	----->Pinamalayan, Oriental Mindoro
PIÑAN DISTRICT HOSPITAL	----->Piñan, Zamboanga del Norte
PINES CITY DOCTOR'S HOSPITAL	----->Magsaysay St., Baguio City
PINTUYAN DISTRICT HOSPITAL	----->Pintuyan, Southern Leyte
PINUKPUK DISTRICT HOSPITAL	----->Pinukpuk, Kalinga, Apayao
PIO DURAN MEMORIAL	----->DISTRICT HOSPITAL Pio Duran, Albay
PIRA HOSPITAL	----->Cabugao, Ilocos Sur
PLACER DISTRICT HOSPITAL	----->Placer, Surigao del Norte
PLARIDEL COUNTY HOSPITAL	----->Tabang, Plaridel, Bulacan
PLARIDEL EMERGENCY HOSPITAL	----->Plaridel, Bulacan
PNP GENERAL HOSPITAL	----->Camp Crame, Quezon City
PNP REGIONAL HEALTH SERVICES O2	----->Camp Adduru, Tuguegarao City Cagayan Valley
PNP STATION HOSPITAL	----->Cabahug, Cebu City
POLILLO MEDICARE HOSPITAL	----->Polillo, Quezon
POLOMOLOK MUNICIPAL HOSPITAL	----->Polomolok, South Cotabato
PORAC DISTRICT HOSPITAL	----->Babo Sacan, Porac, Pampanga
POTIA DISTRICT HOSPITAL	----->Sta. Maria, Alfonso Potia, Ifugao
POZORRUBIO COMMUNITY	----->HOSPITAL Pozorrubio, Pangasinan
PREMIERE GENERAL HOSPITAL	----->OF NUEVA ECIJA INC. Daang Sarile, Maharlika High Way, Cabanatuan City, Nueva Ecija
PREMIERE GENERAL	----->HOSPITAL OF NUEVA ECIJA Sukalayin, Baler, Aurora
PRES. CARLOS P. GARCIA	----->MUNICIPAL HOSPITAL Pitogo, Ubay, Bohol
PRES. DIOSDADO MACAPAGAL	----->HOSPITAL (formerly Gov. Mamerto Portillo District Hosp.) Tobias, Fornier, Antique
PRES. DIOSDADO MACAPAGAL	----->MEM. MED. CENTER Mabini St., Caloocan City
PRES. RAMON MAGSAYSAY	----->MEMORIAL HOSPITAL Iba, Zambales
PRES. ROXAS PROV'L. COMMUNITY HOSP.	----->(formerlyNorhtern Samar Prov'l. Hospital-Annex New Cebu Pres. Roxas, North Cotabato
PRIETO DIAZ MUNICIPAL HOSPITAL	----->Prieto Diaz, Sorsogon
PRIME GLOBAL CARE MEDICAL CTR.	----->INC. (formerly MALUTO FAMILY HEALTH SPECIALISTSLYING-IN & DIAGNOSTIC CLINIC Molino, Cavite
PRINCIPE COMMUNITY	----->MEDICAL HOSPITAL (formerly Baguio Community Medical Hospital) Baguio District, Davao City
PUDPUD POLYCLINIC AND	----->SPECIALTY CLINIC Sogod, South Leyte
PUERTO COMMUNITY HOSPITAL	----->Puerto, Cagayan de Oro City
